,state_idx,action_idx,rank,mape,mae,mse,weight
32,10,2,3,0.7572997613305992,0.5836134978886055,0.3814316156482865,0.2819078947368421
33,11,0,0,0.5402545146222528,0.45552911654219796,0.24702645424409378,0.215625
34,11,1,0,0.4871172492489077,0.43287338922901225,0.23245844743535762,0.215625
35,11,2,0,0.4975712814700695,0.4333535071262049,0.23589766763360318,0.215625
36,12,0,3,1.6939657617675483,0.8230098628529662,0.7171149939863364,0.5024671052631579
37,12,1,3,1.7104221106405095,0.8248980436254296,0.7237824198801482,0.5024671052631579
38,12,2,3,1.6951791782945735,0.8192185008057707,0.7122515849406921,0.5024671052631579
39,13,0,0,0.5178055895811277,0.7511647365164574,0.6656429421195292,0.5024671052631579
40,13,1,0,0.5116359223300372,0.7499440990051935,0.6647135854048404,0.5024671052631579
41,13,2,0,0.509763050421666,0.7443647344084399,0.6586966918577941,0.5024671052631579
42,14,0,3,4.764311504242991,0.632710043973159,0.49532323419013774,0.2819078947368421
43,14,1,3,4.888034255794224,0.632391149262348,0.48182536893828587,0.2819078947368421
44,14,2,3,4.957341494315178,0.6389318576601558,0.49692789398592313,0.2819078947368421
45,15,0,3,1.52855366120896,0.5043582885264333,0.30859276151746445,0.5024671052631579
46,15,1,3,1.55365869679012,0.49833746096443843,0.30637294927080666,0.5024671052631579
47,15,2,3,1.5424435660919122,0.49120745649885844,0.302038299773973,0.5024671052631579
48,16,0,0,0.5517808515735837,0.5420599231883013,0.34423622342374866,0.5024671052631579
49,16,1,0,0.5594584378751408,0.55706124752586,0.3409282752333855,0.5024671052631579
50,16,2,0,0.5338538111126346,0.538946366556733,0.32645149224926945,0.5024671052631579
51,17,0,3,1.9098611912496892,0.6902388839128663,0.5046444180390377,0.2819078947368421
52,17,1,3,1.956406381405395,0.6965798532667805,0.5031341933858573,0.2819078947368421
53,17,2,3,1.9111079439706895,0.6894079069994935,0.49737251600052607,0.2819078947368421
54,18,0,0,0.6856533784570598,0.8767699810009333,0.9064327210295863,0.5024671052631579
55,18,1,0,0.695793300757524,0.8799869386526709,0.89887436840361,0.5024671052631579
56,18,2,0,0.6961481911229456,0.8761878118804228,0.8926696999411665,0.5024671052631579
57,19,0,3,0.6700755362010441,0.3919195282069418,0.18878581138720676,0.215625
58,19,1,3,0.6384570253105588,0.36945256028343393,0.16385904920025549,0.215625
59,19,2,3,0.6674356743199951,0.3776180843649934,0.1750122554003566,0.215625
60,20,0,0,0.5971459169919303,0.6117405333523772,0.43166452946133904,0.5024671052631579
61,20,1,0,0.586917341771899,0.6092774993086678,0.4162050702301072,0.5024671052631579
62,20,2,0,0.52620316395821,0.576732412070515,0.38606952823662927,0.5024671052631579
63,21,0,3,17.39506795982464,0.6440935110393268,0.4978437028983955,0.5024671052631579
64,21,1,3,24.21935778305999,0.6421465763824469,0.46675229070934837,0.5024671052631579
65,21,2,3,24.68641407382621,0.6320786403494364,0.4632928788592366,0.5024671052631579
66,22,0,3,0.6284449784061751,0.45464767893711305,0.23514195263666252,0.5024671052631579
67,22,1,2,0.5224719445192537,0.40111714482863325,0.19116158328514646,0.5024671052631579
68,22,2,2,0.5288760388738885,0.3967059557118994,0.19532289740603323,0.5024671052631579
69,23,0,3,6.0771549527920214,0.5816947528461239,0.39504979240102606,0.215625
70,23,1,3,6.173316443516534,0.5822778253495318,0.3918264848198361,0.215625
71,23,2,3,5.901388046393781,0.5834956873197975,0.3928933273559248,0.215625
72,24,0,3,1.290746698726733,0.5109421865818007,0.2902717681490338,0.5024671052631579
73,24,1,3,1.2886230130815177,0.5091193325000111,0.28987201951455493,0.5024671052631579
74,24,2,3,1.257048644720259,0.499870288538645,0.28194827230420033,0.5024671052631579
75,25,0,3,5.098532625109552,0.7470279992379064,0.5969873118412408,0.2819078947368421
76,25,1,3,5.0593793650171754,0.762186483617357,0.6105177310970623,0.2819078947368421
77,25,2,3,5.002345914918378,0.7584265804049686,0.6062292351379668,0.2819078947368421
78,26,0,3,9.8797478143295,0.5705873585458465,0.43474512727358655,0.215625
79,26,1,3,10.795707500309485,0.5132457022086648,0.3881726676063182,0.215625
80,26,2,3,9.474560933292482,0.5163285707712806,0.39661972113185257,0.215625
81,27,0,0,0.42161655525151626,0.4697317618255464,0.26952774316659706,0.5024671052631579
82,27,1,0,0.4368289533836471,0.47838839770601665,0.2571554044165854,0.5024671052631579
83,27,2,0,0.4260607487221855,0.4667218365395713,0.24870688047176812,0.5024671052631579
84,28,0,3,2.188085958209889,0.6079310710234599,0.4537243427005131,0.5024671052631579
85,28,1,3,20.748144779460425,0.5928730877760987,0.40892540751832446,0.5024671052631579
86,28,2,3,21.393855431369143,0.5757058759554169,0.3964322082768743,0.5024671052631579
87,29,0,3,0.6206930811401705,0.40888929356073295,0.19424168567662795,0.215625
88,29,1,3,0.5492320105998983,0.36485043405428486,0.15496543183452186,0.215625
89,29,2,3,0.5617835334108242,0.3670460176598808,0.16334166026027333,0.215625
90,30,0,0,0.4524464680981044,0.6097359174329576,0.3873881839972581,0.2819078947368421
91,30,1,0,0.46561375428371715,0.6185140772500174,0.3933974389978359,0.2819078947368421
92,30,2,0,0.45967222902000837,0.6161861582436697,0.39410749171036025,0.2819078947368421
93,31,0,3,5.398358721739164,0.7571248426033188,0.6111477730337831,0.2819078947368421
94,31,1,3,5.34152687478385,0.7690680040908981,0.6252853841820346,0.2819078947368421
95,31,2,3,5.428290498217476,0.767511888245059,0.6270275351310401,0.2819078947368421
96,32,0,3,6.551352379765177,0.9382064785935239,0.9398200396797716,0.215625
97,32,1,3,5.695057516835547,0.7780238237358882,0.6743770867769151,0.215625
98,32,2,3,6.434609037076275,0.8841189092772956,0.8447350903944839,0.215625
